Gender,canton,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n
Total,CH,5.1,4.6,5.5,13606
Total,ZH,6.4,5,7.7,1771
Total,BE,4,2.8,5.3,1706
Total,LU,3.8,2.3,5.3,796
Total,UR,3.3,1,5.5,327
Total,SZ,4.3,2.1,6.5,466
Total,OW,.,.,.,.
Total,NW,.,.,.,.
Total,GL,.,.,.,.
Total,ZG,.,.,.,.
Total,FR,4.3,2.6,5.9,788
Total,SO,.,.,.,.
Total,BS,.,.,.,.
Total,BL,.,.,.,.
Total,SH,.,.,.,.
Total,AR,4.4,1.8,7.1,366
Total,AI,.,.,.,.
Total,SG,.,.,.,.
Total,GR,.,.,.,.
Total,AG,4.4,2.8,6,930
Total,TG,.,.,.,.
Total,TI,2.5,1.4,3.6,1011
Total,VD,6.2,4.4,8,1023
Total,VS,5.6,3.5,7.7,761
Total,NE,5.8,3,8.5,457
Total,GE,6.7,4.8,8.7,755
Total,JU,4.1,2,6.2,381
Femmes,CH,2.9,2.4,3.4,7333
Femmes,ZH,3.9,2.6,5.2,936
Femmes,BE,3.2,1.6,4.7,908
Femmes,LU,2.4,0.7,4.1,449
Femmes,UR,.,.,.,.
Femmes,SZ,.,.,.,.
Femmes,OW,.,.,.,.
Femmes,NW,.,.,.,.
Femmes,GL,.,.,.,.
Femmes,ZG,.,.,.,.
Femmes,FR,.,.,.,.
Femmes,SO,.,.,.,.
Femmes,BS,.,.,.,.
Femmes,BL,.,.,.,.
Femmes,SH,.,.,.,.
Femmes,AR,.,.,.,.
Femmes,AI,.,.,.,.
Femmes,SG,.,.,.,.
Femmes,GR,.,.,.,.
Femmes,AG,3.4,1.3,5.5,495
Femmes,TG,.,.,.,.
Femmes,TI,1.4,0.5,2.4,565
Femmes,VD,3.6,1.7,5.6,554
Femmes,VS,3.2,1.1,5.2,418
Femmes,NE,4,0.9,7.2,250
Femmes,GE,3.7,1.8,5.5,413
Femmes,JU,.,.,.,.
Hommes,CH,7.2,6.4,8.1,6273
Hommes,ZH,8.8,6.5,11.1,835
Hommes,BE,4.9,3,6.8,798
Hommes,LU,5.3,2.7,8,347
Hommes,UR,4.5,0.6,8.4,146
Hommes,SZ,7.8,3.4,12.2,210
Hommes,OW,.,.,.,.
Hommes,NW,.,.,.,.
Hommes,GL,.,.,.,.
Hommes,ZG,.,.,.,.
Hommes,FR,7.5,4.4,10.5,365
Hommes,SO,.,.,.,.
Hommes,BS,.,.,.,.
Hommes,BL,.,.,.,.
Hommes,SH,.,.,.,.
Hommes,AR,5.6,1.2,10.1,172
Hommes,AI,.,.,.,.
Hommes,SG,.,.,.,.
Hommes,GR,.,.,.,.
Hommes,AG,5.4,2.9,7.9,435
Hommes,TG,.,.,.,.
Hommes,TI,3.7,1.6,5.8,446
Hommes,VD,8.7,5.8,11.6,469
Hommes,VS,8.1,4.4,11.9,343
Hommes,NE,7.6,3.1,12.1,207
Hommes,GE,10.1,6.6,13.6,342
Hommes,JU,6.9,3.1,10.6,185
