Gender,canton,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n
Total,CH,4,3.6,4.4,16979
Total,ZH,5.2,3.9,6.4,1881
Total,BE,4.3,3.1,5.5,1350
Total,LU,2.9,1.5,4.4,823
Total,UR,3.6,1.6,5.7,398
Total,SZ,2.7,1.4,3.9,784
Total,OW,1.7,0.4,3.1,379
Total,NW,.,.,.,.
Total,GL,.,.,.,.
Total,ZG,.,.,.,.
Total,FR,3.4,1.9,4.9,852
Total,SO,.,.,.,.
Total,BS,.,.,.,.
Total,BL,3,1.6,4.4,625
Total,SH,.,.,.,.
Total,AR,5.6,3.2,8.1,516
Total,AI,.,.,.,.
Total,SG,2.5,1.4,3.6,849
Total,GR,2.9,1.5,4.2,739
Total,AG,1.7,0.8,2.6,1021
Total,TG,3.2,1.8,4.5,842
Total,TI,2.1,1.2,3.1,1132
Total,VD,5.4,4,6.8,1430
Total,VS,3.8,2.2,5.4,770
Total,NE,5,2.8,7.2,489
Total,GE,5.2,3.6,6.7,955
Total,JU,2.8,1.2,4.4,395
Femmes,CH,2.2,1.9,2.6,8946
Femmes,ZH,2.8,1.7,4,987
Femmes,BE,3.9,2.4,5.4,741
Femmes,LU,.,.,.,.
Femmes,UR,.,.,.,.
Femmes,SZ,.,.,.,.
Femmes,OW,.,.,.,.
Femmes,NW,.,.,.,.
Femmes,GL,.,.,.,.
Femmes,ZG,.,.,.,.
Femmes,FR,1.9,0.3,3.5,451
Femmes,SO,.,.,.,.
Femmes,BS,.,.,.,.
Femmes,BL,2,0.5,3.5,350
Femmes,SH,.,.,.,.
Femmes,AR,.,.,.,.
Femmes,AI,.,.,.,.
Femmes,SG,.,.,.,.
Femmes,GR,.,.,.,.
Femmes,AG,.,.,.,.
Femmes,TG,2.2,0.6,3.7,434
Femmes,TI,1.2,0.1,2.2,579
Femmes,VD,2.5,1.3,3.7,751
Femmes,VS,2.3,0.7,3.9,407
Femmes,NE,3.7,1.2,6.3,263
Femmes,GE,3.1,1.6,4.7,524
Femmes,JU,.,.,.,.
Hommes,CH,5.7,5,6.3,8033
Hommes,ZH,7.4,5.3,9.5,894
Hommes,BE,4.7,2.8,6.6,609
Hommes,LU,4.5,2,7,396
Hommes,UR,6.1,2.3,10,184
Hommes,SZ,4.6,2.4,6.8,392
Hommes,OW,.,.,.,.
Hommes,NW,.,.,.,.
Hommes,GL,.,.,.,.
Hommes,ZG,.,.,.,.
Hommes,FR,4.9,2.3,7.6,401
Hommes,SO,.,.,.,.
Hommes,BS,.,.,.,.
Hommes,BL,4.1,1.6,6.5,275
Hommes,SH,.,.,.,.
Hommes,AR,8.4,4.5,12.3,264
Hommes,AI,.,.,.,.
Hommes,SG,4.2,2.2,6.2,419
Hommes,GR,4.6,2.1,7.1,346
Hommes,AG,2.7,1.2,4.3,486
Hommes,TG,4.1,2,6.3,408
Hommes,TI,3,1.5,4.5,553
Hommes,VD,8.1,5.6,10.6,679
Hommes,VS,5.3,2.6,7.9,363
Hommes,NE,6.4,2.7,10,226
Hommes,GE,7.3,4.6,10,431
Hommes,JU,4.8,1.8,7.8,181
