Gender,canton,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n
Total,CH,6.1,5.6,6.5,16267
Total,ZH,7.2,5.8,8.5,1629
Total,BE,5.8,4.2,7.4,1266
Total,LU,4,2.7,5.2,989
Total,UR,4.4,2.2,6.5,407
Total,SZ,4.9,2.7,7.1,473
Total,OW,.,.,.,.
Total,NW,.,.,.,.
Total,GL,.,.,.,.
Total,ZG,5.7,3.9,7.6,771
Total,FR,5.5,3.5,7.5,828
Total,SO,.,.,.,.
Total,BS,9.2,6.6,11.9,719
Total,BL,6.6,4.4,8.8,591
Total,SH,.,.,.,.
Total,AR,6.6,3.8,9.3,388
Total,AI,.,.,.,.
Total,SG,.,.,.,.
Total,GR,5.1,2.8,7.4,509
Total,AG,4.3,2.8,5.8,969
Total,TG,4.8,3.2,6.5,888
Total,TI,4.8,3.3,6.2,1141
Total,VD,7.3,5.7,9,1287
Total,VS,5.6,3.8,7.4,816
Total,NE,7.4,4.6,10.2,459
Total,GE,7.9,5.9,10,849
Total,JU,9.6,5.9,13.3,388
Femmes,CH,3.9,3.4,4.5,8476
Femmes,ZH,5.1,3.6,6.6,834
Femmes,BE,3.4,1.9,4.9,657
Femmes,LU,1.4,0.4,2.3,520
Femmes,UR,4.9,1.7,8,216
Femmes,SZ,3.2,0.7,5.8,226
Femmes,OW,.,.,.,.
Femmes,NW,.,.,.,.
Femmes,GL,.,.,.,.
Femmes,ZG,1.6,0.4,2.9,391
Femmes,FR,5.1,2.4,7.8,440
Femmes,SO,.,.,.,.
Femmes,BS,4.8,2.1,7.6,376
Femmes,BL,2.7,0.8,4.5,317
Femmes,SH,.,.,.,.
Femmes,AR,4.8,1.6,8,185
Femmes,AI,.,.,.,.
Femmes,SG,.,.,.,.
Femmes,GR,2.1,0.4,3.9,234
Femmes,AG,2.7,1.2,4.1,506
Femmes,TG,2.8,1,4.5,483
Femmes,TI,3.3,1.5,5.2,617
Femmes,VD,4.3,2.7,5.9,680
Femmes,VS,3.1,1.3,4.9,412
Femmes,NE,6.3,2.7,9.9,241
Femmes,GE,5.7,3.1,8.2,475
Femmes,JU,5.2,1.8,8.7,207
Hommes,CH,8.2,7.4,9,7791
Hommes,ZH,9.2,6.9,11.4,795
Hommes,BE,8,5.3,10.8,609
Hommes,LU,6.6,4.2,8.9,469
Hommes,UR,3.9,1,6.7,191
Hommes,SZ,6.4,3,9.9,247
Hommes,OW,.,.,.,.
Hommes,NW,.,.,.,.
Hommes,GL,.,.,.,.
Hommes,ZG,9.6,6.3,13,380
Hommes,FR,5.9,3.1,8.8,388
Hommes,SO,.,.,.,.
Hommes,BS,13.4,9,17.7,343
Hommes,BL,11,6.9,15.1,274
Hommes,SH,.,.,.,.
Hommes,AR,8,3.7,12.3,203
Hommes,AI,.,.,.,.
Hommes,SG,.,.,.,.
Hommes,GR,7.3,3.6,11,275
Hommes,AG,6,3.4,8.6,463
Hommes,TG,7,4.1,9.9,405
Hommes,TI,6.4,4.1,8.7,524
Hommes,VD,10.5,7.7,13.4,607
Hommes,VS,8.1,5.1,11.1,404
Hommes,NE,8.6,4.3,12.9,218
Hommes,GE,10.4,7.2,13.5,374
Hommes,JU,14.2,7.7,20.6,181
