Gender,canton,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n
Total,CH,5.8,5.3,6.3,14626
Total,ZH,5.7,4.1,7.2,1177
Total,BE,7.5,5.7,9.3,1179
Total,LU,6.3,4.2,8.4,791
Total,UR,.,.,.,.
Total,SZ,.,.,.,.
Total,OW,.,.,.,.
Total,NW,.,.,.,.
Total,GL,.,.,.,.
Total,ZG,4.3,2.6,6.1,792
Total,FR,6.2,4.2,8.2,807
Total,SO,2.9,1.6,4.2,759
Total,BS,7.5,5.3,9.7,659
Total,BL,5.9,4,7.9,736
Total,SH,.,.,.,.
Total,AR,.,.,.,.
Total,AI,.,.,.,.
Total,SG,6.1,3.9,8.2,751
Total,GR,.,.,.,.
Total,AG,5.1,3.3,6.9,765
Total,TG,.,.,.,.
Total,TI,1.4,0.6,2.2,1049
Total,VD,5.7,3.9,7.5,801
Total,VS,6,3.9,8.1,733
Total,NE,8.2,5.4,11,508
Total,GE,8,5.7,10.2,781
Total,JU,6.6,3.9,9.3,506
Femmes,CH,3.6,3,4.1,7956
Femmes,ZH,3.2,1.5,5,637
Femmes,BE,4.1,2.4,5.8,639
Femmes,LU,3.5,1.6,5.3,421
Femmes,UR,.,.,.,.
Femmes,SZ,.,.,.,.
Femmes,OW,.,.,.,.
Femmes,NW,.,.,.,.
Femmes,GL,.,.,.,.
Femmes,ZG,2.8,0.7,4.9,429
Femmes,FR,4.5,2.3,6.7,443
Femmes,SO,2.5,0.7,4.4,414
Femmes,BS,5.2,2.7,7.6,360
Femmes,BL,4.7,2.2,7.3,387
Femmes,SH,.,.,.,.
Femmes,AR,.,.,.,.
Femmes,AI,.,.,.,.
Femmes,SG,2.4,0.4,4.4,386
Femmes,GR,.,.,.,.
Femmes,AG,3.7,1.5,5.8,390
Femmes,TG,.,.,.,.
Femmes,TI,.,.,.,.
Femmes,VD,3.7,1.7,5.8,452
Femmes,VS,3.3,1.4,5.2,427
Femmes,NE,4.5,1.7,7.4,290
Femmes,GE,4.7,2.4,7.1,465
Femmes,JU,3.9,1.1,6.7,280
Hommes,CH,8.1,7.2,9,6670
Hommes,ZH,8.2,5.5,10.9,540
Hommes,BE,10.9,7.8,13.9,540
Hommes,LU,8.9,5.3,12.6,370
Hommes,UR,.,.,.,.
Hommes,SZ,.,.,.,.
Hommes,OW,.,.,.,.
Hommes,NW,.,.,.,.
Hommes,GL,.,.,.,.
Hommes,ZG,6.1,3.2,8.9,363
Hommes,FR,7.9,4.6,11.2,364
Hommes,SO,3.4,1.5,5.2,345
Hommes,BS,9.9,6.2,13.7,299
Hommes,BL,7.2,4.2,10.3,349
Hommes,SH,.,.,.,.
Hommes,AR,.,.,.,.
Hommes,AI,.,.,.,.
Hommes,SG,9.5,5.9,13.2,365
Hommes,GR,.,.,.,.
Hommes,AG,6.4,3.6,9.2,375
Hommes,TG,.,.,.,.
Hommes,TI,1.9,0.6,3.2,453
Hommes,VD,7.9,4.9,10.8,349
Hommes,VS,9.4,5.4,13.4,306
Hommes,NE,12.3,7.4,17.2,218
Hommes,GE,12,8,15.9,316
Hommes,JU,9.4,4.7,14,226
