Gender,canton,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n
Total,CH,2.9,2.5,3.2,16267
Total,ZH,3.4,2.4,4.4,1629
Total,BE,2.5,1.5,3.5,1266
Total,LU,1.5,0.7,2.3,989
Total,UR,.,.,.,.
Total,SZ,1.9,0.7,3.1,473
Total,OW,.,.,.,.
Total,NW,.,.,.,.
Total,GL,.,.,.,.
Total,ZG,2.6,1.5,3.8,771
Total,FR,2.7,1.3,4.1,828
Total,SO,.,.,.,.
Total,BS,5.1,3.2,7,719
Total,BL,2.2,1,3.3,591
Total,SH,.,.,.,.
Total,AR,2.6,0.8,4.3,388
Total,AI,.,.,.,.
Total,SG,.,.,.,.
Total,GR,2.2,0.8,3.7,509
Total,AG,2.4,1.2,3.5,969
Total,TG,2.4,1.2,3.7,888
Total,TI,1.4,0.6,2.1,1141
Total,VD,4.3,3.1,5.6,1287
Total,VS,2.6,1.3,3.8,816
Total,NE,3.9,1.9,6,459
Total,GE,4,2.4,5.6,849
Total,JU,1.8,0.4,3.1,388
Femmes,CH,1.5,1.1,1.8,8476
Femmes,ZH,1.8,0.9,2.7,834
Femmes,BE,1.2,0.3,2.2,657
Femmes,LU,.,.,.,.
Femmes,UR,.,.,.,.
Femmes,SZ,.,.,.,.
Femmes,OW,.,.,.,.
Femmes,NW,.,.,.,.
Femmes,GL,.,.,.,.
Femmes,ZG,.,.,.,.
Femmes,FR,.,.,.,.
Femmes,SO,.,.,.,.
Femmes,BS,2.7,0.5,4.9,376
Femmes,BL,.,.,.,.
Femmes,SH,.,.,.,.
Femmes,AR,.,.,.,.
Femmes,AI,.,.,.,.
Femmes,SG,.,.,.,.
Femmes,GR,.,.,.,.
Femmes,AG,1.1,0.2,2.1,506
Femmes,TG,.,.,.,.
Femmes,TI,0.7,0.1,1.3,617
Femmes,VD,1.4,0.5,2.3,680
Femmes,VS,.,.,.,.
Femmes,NE,2.3,0.3,4.3,241
Femmes,GE,3.4,1.1,5.6,475
Femmes,JU,.,.,.,.
Hommes,CH,4.2,3.7,4.8,7791
Hommes,ZH,4.9,3.2,6.6,795
Hommes,BE,3.7,2,5.4,609
Hommes,LU,2.5,1,3.9,469
Hommes,UR,.,.,.,.
Hommes,SZ,2,0.5,3.5,247
Hommes,OW,.,.,.,.
Hommes,NW,.,.,.,.
Hommes,GL,.,.,.,.
Hommes,ZG,4.8,2.6,7,380
Hommes,FR,4,1.7,6.3,388
Hommes,SO,.,.,.,.
Hommes,BS,7.3,4.3,10.4,343
Hommes,BL,3.5,1.3,5.7,274
Hommes,SH,.,.,.,.
Hommes,AR,3.9,0.9,6.8,203
Hommes,AI,.,.,.,.
Hommes,SG,.,.,.,.
Hommes,GR,3.7,1.2,6.3,275
Hommes,AG,3.6,1.6,5.7,463
Hommes,TG,4,1.7,6.3,405
Hommes,TI,2.1,0.7,3.5,524
Hommes,VD,7.4,5,9.8,607
Hommes,VS,3.8,1.7,5.9,404
Hommes,NE,5.7,2,9.4,218
Hommes,GE,4.7,2.5,6.8,374
Hommes,JU,.,.,.,.
