Gender,canton,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n
Total,CH,3.2,2.8,3.6,14626,.
Total,ZH,3.8,2.4,5.2,1177
Total,BE,4,2.6,5.3,1179
Total,LU,3.1,1.7,4.6,791
Total,UR,.,.,.,.
Total,SZ,.,.,.,.
Total,OW,.,.,.,.
Total,NW,.,.,.,.
Total,GL,.,.,.,.
Total,ZG,2,0.9,3.2,792
Total,FR,3.1,1.7,4.6,807
Total,SO,1.9,0.9,2.9,759
Total,BS,4.3,2.5,6,659
Total,BL,3,1.5,4.5,736
Total,SH,.,.,.,.
Total,AR,.,.,.,.
Total,AI,.,.,.,.
Total,SG,3.3,1.9,4.8,751
Total,GR,.,.,.,.
Total,AG,2.3,1.2,3.4,765
Total,TG,.,.,.,.
Total,TI,0.6,0.1,1.2,1049
Total,VD,3.2,1.8,4.5,801
Total,VS,3.2,1.7,4.8,733
Total,NE,5.9,3.4,8.3,508
Total,GE,4.3,2.6,5.9,781
Total,JU,3.9,1.7,6,506
Femmes,CH,1.6,1.2,2,7956
Femmes,ZH,2,0.5,3.6,637
Femmes,BE,1.5,0.5,2.4,639
Femmes,LU,2.1,0.7,3.5,421
Femmes,UR,.,.,.,.
Femmes,SZ,.,.,.,.
Femmes,OW,.,.,.,.
Femmes,NW,.,.,.,.
Femmes,GL,.,.,.,.
Femmes,ZG,.,.,.,.
Femmes,FR,1.8,0.4,3.2,443
Femmes,SO,.,.,.,.
Femmes,BS,.,.,.,.
Femmes,BL,.,.,.,.
Femmes,SH,.,.,.,.
Femmes,AR,.,.,.,.
Femmes,AI,.,.,.,.
Femmes,SG,.,.,.,.
Femmes,GR,.,.,.,.
Femmes,AG,1.8,0.3,3.4,390
Femmes,TG,.,.,.,.
Femmes,TI,.,.,.,.
Femmes,VD,1.6,0.4,2.8,452
Femmes,VS,1.5,0.3,2.8,427
Femmes,NE,.,.,.,.
Femmes,GE,2.2,0.4,4.1,465
Femmes,JU,.,.,.,.
Hommes,CH,4.9,4.2,5.6,6670
Hommes,ZH,5.7,3.3,8,540
Hommes,BE,6.5,4.1,8.9,540
Hommes,LU,4.2,1.7,6.6,370
Hommes,UR,.,.,.,.
Hommes,SZ,.,.,.,.
Hommes,OW,.,.,.,.
Hommes,NW,.,.,.,.
Hommes,GL,.,.,.,.
Hommes,ZG,3.1,1.1,5.2,363
Hommes,FR,4.5,1.9,7,364
Hommes,SO,3.1,1.3,4.9,345
Hommes,BS,6.9,3.8,9.9,299
Hommes,BL,4.8,2.1,7.5,349
Hommes,SH,.,.,.,.
Hommes,AR,.,.,.,.
Hommes,AI,.,.,.,.
Hommes,SG,5.4,2.8,8,365
Hommes,GR,.,.,.,.
Hommes,AG,2.7,1.2,4.3,375
Hommes,TG,.,.,.,.
Hommes,TI,1.4,0.2,2.6,453
Hommes,VD,4.8,2.4,7.3,349
Hommes,VS,5.3,2.2,8.4,306
Hommes,NE,9.7,5.2,14.2,218
Hommes,GE,6.8,3.9,9.7,316
Hommes,JU,6.6,2.5,10.6,226
