Gender,Def,Nom,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n
Total,Niveau de formation,Scolarité obligatoire,3.7,2.8,4.6,3157,1.3,0.8,1.9,3157,0.9,0.4,1.3,3157,2.8,2,3.6,3157,2.5,1.8,3.3,3157,2.4,1.7,3.2,3158
Total,Niveau de formation,Degré secondaire II,6.4,5.6,7.1,8425,1.3,0.9,1.6,8425,1.2,0.9,1.5,8424,4.8,4.2,5.4,8424,3.7,3.1,4.3,8424,4.1,3.5,4.7,8424
Total,Niveau de formation,Degré tertiaire,6.2,5.4,7.1,5103,0.7,0.4,0.9,5103,0.7,0.4,0.9,5103,4.3,3.6,4.9,5103,3,2.4,3.6,5103,4.3,3.6,5.1,5102
Total,Région linguistique,Allemand/Rhéto-roman,5.9,5.3,6.5,11069,1.1,0.8,1.4,11069,0.8,0.6,1,11068,4.2,3.7,4.7,11068,3.2,2.7,3.6,11068,4,3.5,4.5,11068
Total,Région linguistique,Français,5.9,5.1,6.8,4446,1.2,0.8,1.5,4446,1.3,0.9,1.7,4446,4.5,3.7,5.2,4446,3.7,3,4.4,4446,3.8,3.1,4.5,4446
Total,Région linguistique,Italien,4.8,3.4,6.1,1193,0.5,0,0.9,1193,1.1,0.5,1.7,1193,3.6,2.4,4.8,1193,2.6,1.5,3.7,1193,2.6,1.6,3.7,1193
Total,Région d'habitation,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Total,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,Urbain,6.7,6,7.3,10198,1.3,1,1.5,10198,1.1,0.8,1.3,10197,4.9,4.4,5.5,10197,3.8,3.3,4.3,10197,4.4,3.9,5,10197
,,Intermédiaire,4.7,3.8,5.6,3548,0.8,0.4,1.2,3548,0.9,0.5,1.2,3548,3.3,2.5,4.1,3548,2.6,1.9,3.2,3548,2.9,2.2,3.6,3548
,,Rural,4.2,3.2,5.3,3014,0.8,0.4,1.2,3014,0.7,0.4,1,3014,3.1,2.2,3.9,3014,2.3,1.4,3.2,3014,2.9,2,3.9,3014
,Nationalité,Suisses,6.1,5.5,6.7,13595,1.2,0.9,1.5,13595,1,0.8,1.2,13594,4.3,3.9,4.8,13594,3.3,2.9,3.7,13594,4.1,3.6,4.5,13594
,,Étrangers,5,4,5.9,3165,0.8,0.4,1.1,3165,0.8,0.4,1.2,3165,4,3.2,4.9,3165,3.1,2.4,3.9,3165,3.2,2.4,4,3165
,Exercice d’une activité rémunérée,Personnes actives occupées,6,5.4,6.5,13628,1,0.8,1.3,13628,0.9,0.7,1.1,13627,4.3,3.9,4.8,13627,3.3,2.9,3.7,13627,4,3.5,4.4,13627
,,Personnes non actives occupées,5.1,4,6.1,3124,1.3,0.8,1.9,3124,1.1,0.7,1.6,3124,3.9,2.9,4.8,3124,2.9,2.2,3.7,3124,3.2,2.4,4,3124
Femmes,Niveau de formation,Scolarité obligatoire,3,2,4,1766,1.1,0.4,1.7,1766,0.6,0.2,1,1766,2.4,1.5,3.3,1766,2.2,1.3,3.1,1766,1.9,1.2,2.7,1766
Femmes,Niveau de formation,Degré secondaire II,4.2,3.4,4.9,4725,0.6,0.2,0.9,4725,0.7,0.4,1,4725,3,2.3,3.6,4725,2.4,1.8,3,4725,2.1,1.6,2.6,4725
Femmes,Niveau de formation,Degré tertiaire,4.8,3.8,5.9,2199,0.8,0.3,1.2,2199,0.4,0.1,0.6,2199,3.1,2.3,3.9,2199,3,2.1,3.8,2199,2.9,2.1,3.8,2199
Femmes,Région linguistique,Allemand/Rhéto-roman,4.1,3.4,4.8,5695,0.7,0.4,1,5695,0.5,0.3,0.8,5695,2.8,2.3,3.4,5695,2.4,1.8,2.9,5695,2.3,1.8,2.8,5695
Femmes,Région linguistique,Français,4.3,3.3,5.3,2360,0.9,0.5,1.4,2360,0.6,0.3,0.9,2360,3.2,2.3,4,2360,3.1,2.2,3.9,2360,2.4,1.6,3.1,2360
Femmes,Région linguistique,Italien,3.2,1.8,4.6,644,0.6,0,1.2,644,1,0.3,1.8,644,2.4,1.2,3.5,644,1.1,0.4,1.8,644,1.8,0.7,2.8,644
Femmes,Région d'habitation,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,Urbain,4.8,4,5.5,5350,0.8,0.5,1.1,5350,0.6,0.3,0.8,5350,3.4,2.8,4,5350,2.9,2.3,3.5,5350,2.7,2.2,3.3,5350
,,Intermédiaire,3.1,2.1,4.1,1849,0.5,0.1,0.9,1849,0.6,0.2,1,1849,2,1.3,2.8,1849,1.9,1.1,2.7,1849,1.7,1,2.4,1849
