Gender,Def,Nom,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n
Total,Niveau de formation,Scolarité obligatoire,2,1.3,2.7,2523,0.3,0,0.6,2523,0.9,0.4,1.3,2524,1.4,0.8,2,2523,1.1,0.5,1.6,2524,1.5,0.9,2.2,2524
Total,Niveau de formation,Degré secondaire II,3.5,3.1,4,9471,0.6,0.4,0.8,9471,0.7,0.5,0.9,9477,2.3,1.9,2.6,9474,1.6,1.3,1.9,9473,2.1,1.8,2.5,9475
Total,Niveau de formation,Degré tertiaire,3.9,3,4.7,2608,0.4,0.1,0.7,2608,0.7,0.3,1.1,2610,2.9,2.1,3.7,2607,1.1,0.6,1.5,2609,2.5,1.8,3.2,2610
Total,Région linguistique,Allemand/Rhéto-roman,3.1,2.7,3.5,9793,0.6,0.4,0.8,9793,0.7,0.5,0.9,9794,1.9,1.6,2.2,9793,1.4,1.1,1.7,9793,2.1,1.7,2.5,9794
Total,Région linguistique,Français,3.9,3.2,4.7,3793,0.5,0.2,0.7,3793,0.9,0.6,1.2,3800,3.2,2.5,3.8,3795,1.6,1.2,2.1,3797,2.2,1.6,2.7,3798
Total,Région linguistique,Italien,1.7,0.8,2.5,1064,0.2,0,0.5,1064,0.4,0,0.8,1065,1.4,0.7,2.1,1064,0.6,0,1.1,1064,0.8,0.3,1.3,1065
Total,Région d'habitation,Région urbaine,3.8,3.3,4.3,9612,0.6,0.4,0.8,9612,0.8,0.6,1.1,9619,2.6,2.2,2.9,9614,1.7,1.3,2,9616,2.4,2,2.7,9618
Total,,Région rurale,2.1,1.6,2.6,5038,0.3,0.1,0.5,5038,0.5,0.3,0.7,5040,1.4,1,1.8,5038,0.9,0.5,1.2,5038,1.4,1,1.8,5039
Total,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Total,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
