Gender,Def,Nom,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n,Proportion de la population en %,Limite inférieure de l'intervalle de confiance,Limite supérieure de l'intervalle de confiance,n
Total,Niveau de formation,Scolarité obligatoire,4.3,3.4,5.2,3314,1.2,0.7,1.6,3314,0.6,0.3,1,3314,3.3,2.5,4.1,3314,2.9,2.1,3.6,3314,2,1.4,2.6,3315
Total,Niveau de formation,Degré secondaire II,7.4,6.7,8.2,7950,1.6,1.2,1.9,7950,1,0.7,1.3,7950,5.7,5,6.3,7950,4.5,3.8,5.1,7948,4.8,4.2,5.5,7950
Total,Niveau de formation,Degré tertiaire,9.4,8.5,10.4,5655,1.5,1.1,1.9,5655,0.9,0.6,1.2,5656,7.1,6.2,7.9,5656,5.4,4.6,6.2,5654,5.7,4.9,6.5,5656
Total,Région linguistique,Allemand/Rhéto-roman,7.3,6.7,7.9,11173,1.4,1.1,1.7,11173,0.8,0.6,1,11174,5.3,4.7,5.8,11174,4.5,4,5.1,11172,4.7,4.2,5.2,11174
Total,Région linguistique,Français,9,8,10,4617,1.7,1.2,2.1,4617,1.2,0.8,1.5,4617,7.4,6.5,8.3,4617,5,4.2,5.8,4615,4.9,4.1,5.7,4618
Total,Région linguistique,Italien,4.2,2.8,5.5,1190,0.7,0.2,1.2,1190,0.3,0,0.6,1190,4.1,2.7,5.4,1190,1.4,0.6,2.1,1190,1.6,0.7,2.4,1190
Total,Région d'habitation,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Total,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,Urbain,8.2,7.5,8.9,9946,1.6,1.3,1.9,9946,0.9,0.7,1.2,9946,6.2,5.6,6.8,9946,4.9,4.3,5.4,9943,4.8,4.3,5.4,9946
,,Intermédiaire,6.8,5.7,7.9,3796,1.3,0.9,1.8,3796,0.8,0.3,1.2,3797,5.1,4.2,6.1,3797,3.8,2.9,4.7,3796,4.4,3.5,5.4,3798
,,Rural,6.2,5.1,7.4,3238,1.1,0.6,1.6,3238,0.8,0.4,1.2,3238,4.7,3.7,5.7,3238,4,3.1,5,3238,4.1,3.1,5,3238
,Nationalité,Suisses,8.1,7.5,8.7,12690,1.7,1.4,2,12690,1,0.8,1.3,12691,6.1,5.5,6.6,12691,4.7,4.2,5.2,12687,5.3,4.8,5.8,12691
